ts,temperature,humidity,mq5_raw,mq5_index
2026-04-26T06:01:35.397Z,26,19,143,0.561
2026-04-26T06:01:40.884Z,26,20,143,0.561
2026-04-26T06:01:46.355Z,26,20,143,0.561
2026-04-26T06:01:51.822Z,26,20,141,0.553
2026-04-26T06:01:57.290Z,26,20,142,0.557
2026-04-26T06:02:02.760Z,26,20,143,0.561
2026-04-26T06:02:08.230Z,26,20,143,0.561
2026-04-26T06:02:13.693Z,26,20,141,0.553
2026-04-26T06:02:19.161Z,26,20,143,0.561
2026-04-26T06:02:24.630Z,26,20,141,0.553
2026-04-26T06:02:30.106Z,26,20,142,0.557
2026-04-26T06:02:35.559Z,26,20,143,0.561
2026-04-26T06:02:41.026Z,26,20,140,0.549
2026-04-26T06:02:46.502Z,26,20,143,0.561
2026-04-26T06:02:51.972Z,26,20,141,0.553
2026-04-26T06:02:57.428Z,26,20,142,0.557
2026-04-26T06:03:02.898Z,26,20,140,0.549
2026-04-26T06:03:08.368Z,26,20,142,0.557
2026-04-26T06:03:13.817Z,26,21,140,0.549
2026-04-26T06:03:19.284Z,26,20,143,0.561
2026-04-26T06:03:24.752Z,26,20,141,0.553
2026-04-26T06:03:30.218Z,26,20,140,0.549
2026-04-26T06:03:35.681Z,26,21,141,0.553
2026-04-26T06:03:41.139Z,26,20,140,0.549
2026-04-26T06:03:46.586Z,26,21,140,0.549
2026-04-26T06:03:52.062Z,26,21,142,0.557
2026-04-26T06:03:57.529Z,26,20,143,0.561
2026-04-26T06:04:03.008Z,26,20,142,0.557
2026-04-26T06:04:08.470Z,26,20,141,0.553
2026-04-26T06:04:13.941Z,26,20,143,0.561
2026-04-26T06:04:19.424Z,26,20,141,0.553
2026-04-26T06:04:24.903Z,26,20,143,0.561
2026-04-26T06:04:30.355Z,26,20,140,0.549
2026-04-26T06:04:35.832Z,26,20,141,0.553
2026-04-26T06:04:41.281Z,26,20,143,0.561
2026-04-26T06:04:46.738Z,26,20,141,0.553
2026-04-26T06:04:53.811Z,26,21,142,0.557
2026-04-26T06:04:59.256Z,26,20,140,0.549
2026-04-26T06:05:04.730Z,26,20,143,0.561
2026-04-26T06:05:10.202Z,26,20,143,0.561
2026-04-26T06:05:15.676Z,26,20,142,0.557
2026-04-26T06:05:21.134Z,26,20,141,0.553
2026-04-26T06:05:26.604Z,26,20,141,0.553
2026-04-26T06:05:32.056Z,26,20,143,0.561
2026-04-26T06:05:37.532Z,26,20,141,0.553
2026-04-26T06:05:43.000Z,26,20,142,0.557
2026-04-26T06:05:48.468Z,26,20,142,0.557
2026-04-26T06:05:53.938Z,26,20,143,0.561
2026-04-26T06:05:59.417Z,26,20,143,0.561
2026-04-26T06:06:04.890Z,26,20,143,0.561
2026-04-26T06:06:10.367Z,26,20,141,0.553
2026-04-26T06:06:15.828Z,26,20,141,0.553
2026-04-26T06:06:21.297Z,26,20,143,0.561
2026-04-26T06:06:26.768Z,26,20,142,0.557
2026-04-26T06:06:32.230Z,26,20,142,0.557
2026-04-26T06:06:37.702Z,26,20,140,0.549
2026-04-26T06:06:43.152Z,26,20,141,0.553
2026-04-26T06:06:48.625Z,26,20,142,0.557
2026-04-26T06:06:54.099Z,26,20,140,0.549
2026-04-26T06:06:59.566Z,26,20,141,0.553
2026-04-26T06:07:05.051Z,26,20,141,0.553
2026-04-26T06:07:10.519Z,26,20,140,0.549
2026-04-26T06:07:15.978Z,26,20,140,0.549
2026-04-26T06:07:21.445Z,26,20,141,0.553
2026-04-26T06:07:26.906Z,26,20,141,0.553
2026-04-26T06:07:32.362Z,26,20,141,0.553
2026-04-26T06:07:37.837Z,26,20,143,0.561
2026-04-26T06:07:43.303Z,26,20,143,0.561
2026-04-26T06:07:48.780Z,26,20,141,0.553
2026-04-26T06:07:54.237Z,26,20,142,0.557
2026-04-26T06:07:59.708Z,26,20,143,0.561
2026-04-26T06:08:05.178Z,26,20,142,0.557
2026-04-26T06:08:10.653Z,26,20,143,0.561
2026-04-26T06:08:16.135Z,26,20,142,0.557
2026-04-26T06:08:21.609Z,26,20,141,0.553
2026-04-26T06:08:27.061Z,26,20,143,0.561
2026-04-26T06:08:32.535Z,26,20,143,0.561
2026-04-26T06:08:38.016Z,26,20,143,0.561
2026-04-26T06:08:43.492Z,26,20,141,0.553
2026-04-26T06:08:48.964Z,26,20,141,0.553
2026-04-26T06:08:54.449Z,26,20,142,0.557
2026-04-26T06:08:59.912Z,26,20,141,0.553
2026-04-26T06:09:05.384Z,26,20,143,0.561
2026-04-26T06:09:10.852Z,26,20,143,0.561
2026-04-26T06:09:16.325Z,26,20,143,0.561
